,DIM: 2,,,,,,,,,,Max Rank Difference,,
,DE RAND/1/BIN,DE BEST/1/BIN,PSO,SOMA All To All,SOMA All To One,,,,,,,,TOP Funkce
F2,-6.291661622,-8.492304892,-2.006435154,0.39972774,0.189923127,,,,,,8.892032631,4.46133E+57,9
F3,∞,∞,204.8122823,0.428124023,0.172290576,,,,,,204.6399918,1.7182E+57,4
F4,-1.72E+57,-5.05E+37,11368.19097,0.437802503,0.191830375,,,,,,1.7182E+57,1.67803E+57,7
F5,6.575465188,2220.654684,331.2028203,0.415254133,0.182276505,,,,,,2220.472407,3.80899E+28,15
F6,0.43839654,3.53E-07,20.23981944,0.391049867,0.176378366,,,,,,20.23981909,,
F7,-1.68E+57,-7.81E+37,-1102.3659,0.386083775,0.148026448,,,,,,1.67803E+57,,
F8,0.19492888,1.90E-17,384.1150622,0.454443741,0.183241853,,,,,,384.1150622,,
F9,-4.46E+57,-1.54E+38,-1805.892335,0.40809506,0.175805531,,,,,,4.46133E+57,,
F10,38.19734713,1.10E-11,1512.404621,0.433328611,0.18534303,,,,,,1512.404621,,
F11,172.3474445,261.6407107,488.4278944,0.428289298,0.183378232,,,,,,488.2445161,,
F12,217879.905,0.000106276,17042156.47,0.406492342,0.147898475,,,,,,17042156.47,,
F13,606.9381829,1.73E-08,1079.78603,0.429277758,0.241353316,,,,,,1079.786029,,
F14,0.025271182,3.90E-07,0.000210691,0.402193844,0.180178327,,,,,,0.402193454,,
F15,∞,∞,3.81E+28,0.439276908,0.174219008,,,,,,3.80899E+28,,
F16,2236.486391,1.972835971,71688.68218,0.410142599,0.173582579,,,,,,71688.5086,,
F17,20.40653052,123.3518434,86.1953758,0.42257431,0.179875531,,,,,,123.1719678,,
F18,-916.9005265,-987.2484509,-705.6700523,0.417007382,0.169164779,,,,,,987.6654583,,
F19,0.439143881,3.44E-10,21.70783527,0.424403978,0.239855896,,,,,,21.70783527,,
F20,1.731775444,3.179947351,7.328802411,0.391168443,0.189078904,,,,,,7.139723507,,
F21,-3416.633724,-3450.343859,-3483.873853,0.406095693,0.112751601,,,,,,3484.279949,,
F22,-2.23E+76,-1.06E+38,-1511.228373,0.384486256,0.216465504,,,,,,2.22548E+76,,
F23,31.80564918,30.00001303,75.78747801,0.430122378,0.172382181,,,,,,75.61509583,,
F24,∞,∞,-183800.1357,0.411669881,0.205199197,,,,,,183800.5473,,
F25,-18.62469585,-17.51497849,-6.502697627,0.438154144,0.162104653,,,,,,19.06284999,,
